iter	Passed	Remaining
0	0	91
1	1	82
2	2	87
3	3	83
4	4	82
5	5	81
6	6	81
7	7	81
8	8	80
9	8	79
10	9	78
11	10	78
12	11	77
13	12	75
14	13	73
15	13	71
16	14	70
17	15	68
18	15	67
19	16	66
20	17	65
21	18	64
22	18	63
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	22	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	29	47
38	30	46
39	30	46
40	31	45
41	31	43
42	32	42
43	32	41
44	33	41
45	34	40
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	38	34
53	39	33
54	40	32
55	40	32
56	41	31
57	42	30
58	42	29
59	43	29
60	44	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	48	23
68	49	22
69	50	21
70	50	20
71	51	20
72	52	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	15
79	57	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	9
86	62	9
87	62	8
88	63	7
89	64	7
90	64	6
91	65	5
92	66	4
93	67	4
94	67	3
95	68	2
96	69	2
97	69	1
98	70	0
99	71	0
